 Iteration	g0	g1	penalK	penalG	eta	beta	pAgg	change	lambda1	lambda2	Compliance	Vol. Frac.	CPU time	Real time
 14	0.9373	-8.61e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.934e-02	1.306e-07	2.406e+00	9.541450e+00	0.1400	1.940625e+02	3.761e+01
 15	0.9361	-8.49e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.281e-02	1.266e-07	2.315e+00	9.568324e+00	0.1400	1.992500e+02	3.886e+01
 16	0.9360	-8.52e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.802e-02	1.305e-07	2.432e+00	9.547606e+00	0.1400	2.191562e+02	4.218e+01
 17	0.9357	-8.67e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.700e-02	1.301e-07	2.251e+00	9.567746e+00	0.1400	2.134531e+02	4.080e+01
 18	0.9346	-8.66e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.520e-02	1.230e-07	2.433e+00	9.584662e+00	0.1400	2.780469e+02	5.333e+01
 19	0.9338	-8.51e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.386e-02	1.303e-07	2.316e+00	9.518208e+00	0.1400	1.693281e+02	3.292e+01
 20	0.9327	-8.21e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	6.647e-03	1.280e-07	2.314e+00	9.542518e+00	0.1400	2.185000e+02	4.202e+01
 21	0.9317	-7.90e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.580e-03	1.272e-07	2.323e+00	9.544765e+00	0.1401	2.080469e+02	4.015e+01
 22	0.9308	-7.59e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.356e-03	1.271e-07	2.330e+00	9.538345e+00	0.1401	2.248750e+02	4.302e+01
 23	0.9299	-7.29e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.941e-03	1.271e-07	2.335e+00	9.531481e+00	0.1401	2.055938e+02	3.967e+01
 24	0.9291	-7.01e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.045e-03	1.271e-07	2.337e+00	9.525220e+00	0.1402	2.060469e+02	4.048e+01
 25	0.9282	-6.73e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.088e-03	1.271e-07	2.341e+00	9.518904e+00	0.1402	2.072969e+02	4.014e+01
 26	0.9274	-6.47e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	5.076e-03	1.271e-07	2.361e+00	9.512897e+00	0.1403	1.979688e+02	3.854e+01
 27	0.9267	-6.22e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.618e-03	1.271e-07	2.379e+00	9.506931e+00	0.1403	2.135625e+02	4.127e+01
 28	0.9260	-5.97e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.555e-03	1.271e-07	2.385e+00	9.501502e+00	0.1403	2.063438e+02	4.028e+01
 29	0.9253	-5.73e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.080e-03	1.272e-07	2.388e+00	9.496632e+00	0.1404	2.052969e+02	3.976e+01
 30	0.9247	-5.51e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.891e-03	1.272e-07	2.389e+00	9.492924e+00	0.1404	2.044219e+02	3.956e+01
 31	0.9240	-5.29e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.596e-03	1.272e-07	2.393e+00	9.489162e+00	0.1404	1.972656e+02	3.820e+01
 32	0.9234	-5.08e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.863e-03	1.271e-07	2.401e+00	9.485115e+00	0.1405	1.976719e+02	3.851e+01
 33	0.9228	-4.88e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.175e-03	1.276e-07	2.414e+00	9.480609e+00	0.1405	2.050000e+02	4.003e+01
 34	0.9222	-4.69e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.547e-03	1.268e-07	2.382e+00	9.481746e+00	0.1405	1.872500e+02	3.652e+01
 35	0.9218	-4.53e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.225e-03	1.284e-07	2.475e+00	9.473630e+00	0.1405	1.887031e+02	3.678e+01
 36	0.9221	-4.44e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.075e-02	1.286e-07	2.208e+00	9.482900e+00	0.1405	2.008125e+02	3.891e+01
 37	0.9249	-4.72e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.718e-02	1.308e-07	2.698e+00	9.487574e+00	0.1405	2.341094e+02	4.498e+01
 38	0.9279	-5.73e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.788e-02	1.329e-07	2.009e+00	9.494313e+00	0.1404	1.643594e+02	3.227e+01
 39	0.9281	-6.66e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.149e-02	1.283e-07	2.592e+00	9.520886e+00	0.1402	2.259531e+02	4.342e+01
 40	0.9266	-6.72e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.140e-02	1.272e-07	2.338e+00	9.520041e+00	0.1402	1.892812e+02	3.656e+01
 41	0.9259	-6.45e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.337e-03	1.271e-07	2.364e+00	9.515265e+00	0.1403	1.897031e+02	3.670e+01
 42	0.9252	-6.19e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.744e-03	1.271e-07	2.369e+00	9.509400e+00	0.1403	1.952188e+02	3.766e+01
 43	0.9245	-5.94e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.725e-03	1.271e-07	2.381e+00	9.503994e+00	0.1403	1.970469e+02	3.823e+01
 44	0.9239	-5.70e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.754e-03	1.271e-07	2.385e+00	9.499155e+00	0.1404	1.911562e+02	3.728e+01
 45	0.9233	-5.46e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.658e-03	1.271e-07	2.390e+00	9.494451e+00	0.1404	1.974219e+02	3.812e+01
 46	0.9228	-5.24e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.696e-03	1.272e-07	2.396e+00	9.489990e+00	0.1404	2.002188e+02	3.856e+01
 47	0.9222	-5.02e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.848e-03	1.272e-07	2.402e+00	9.485901e+00	0.1405	2.090312e+02	4.036e+01
 48	0.9217	-4.82e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.074e-03	1.272e-07	2.406e+00	9.482232e+00	0.1405	1.929062e+02	3.740e+01
 49	0.9212	-4.62e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.380e-03	1.272e-07	2.409e+00	9.479065e+00	0.1405	2.039375e+02	3.938e+01
 50	0.9207	-4.43e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.708e-03	1.272e-07	2.412e+00	9.476282e+00	0.1406	1.965625e+02	3.819e+01
 51	0.9202	-4.26e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.081e-03	1.273e-07	2.413e+00	9.473854e+00	0.1406	1.915000e+02	3.713e+01
 52	0.9197	-4.09e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.463e-03	1.273e-07	2.414e+00	9.471747e+00	0.1406	1.999062e+02	3.871e+01
 53	0.9192	-3.93e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.630e-03	1.273e-07	2.415e+00	9.469896e+00	0.1406	1.938594e+02	3.776e+01
 54	0.9187	-3.77e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.855e-03	1.273e-07	2.414e+00	9.468406e+00	0.1406	2.127031e+02	4.122e+01
 55	0.9183	-3.63e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	6.194e-03	1.274e-07	2.424e+00	9.466916e+00	0.1407	2.067812e+02	3.997e+01
 56	0.9178	-3.49e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	7.834e-03	1.277e-07	2.404e+00	9.466808e+00	0.1407	1.960469e+02	3.789e+01
 57	0.9174	-3.36e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	8.057e-03	1.263e-07	2.477e+00	9.470343e+00	0.1407	1.877344e+02	3.639e+01
 58	0.9179	-3.30e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.516e-02	1.321e-07	2.143e+00	9.457164e+00	0.1407	1.656719e+02	3.253e+01
 59	0.9321	-3.99e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.539e-02	1.452e-07	2.904e+00	9.504869e+00	0.1406	3.001719e+02	5.707e+01
 60	0.9563	-9.32e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	6.738e-02	1.517e-07	1.424e+00	9.558138e+00	0.1399	1.797656e+02	3.479e+01
 61	0.9676	-1.70e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.961e-02	1.695e-07	3.446e+00	9.649935e+00	0.1388	2.062812e+02	3.963e+01
 62	0.9623	-2.04e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.655e-02	1.279e-07	1.929e+00	9.825841e+00	0.1383	1.728125e+02	3.343e+01
 63	0.9592	-2.04e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.710e-02	1.280e-07	2.591e+00	9.796079e+00	0.1383	2.125000e+02	4.063e+01
 64	0.9567	-1.97e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	7.756e-03	1.273e-07	2.388e+00	9.787982e+00	0.1384	2.160469e+02	4.124e+01
 65	0.9546	-1.89e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.297e-03	1.273e-07	2.361e+00	9.772824e+00	0.1385	2.080781e+02	3.964e+01
 66	0.9526	-1.81e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.758e-03	1.273e-07	2.344e+00	9.758351e+00	0.1386	2.282188e+02	4.359e+01
 67	0.9506	-1.74e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	5.072e-03	1.272e-07	2.346e+00	9.743939e+00	0.1387	2.134844e+02	4.078e+01
 68	0.9487	-1.67e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	5.652e-03	1.273e-07	2.356e+00	9.729220e+00	0.1388	1.963750e+02	3.771e+01
 69	0.9468	-1.60e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	6.638e-03	1.272e-07	2.369e+00	9.716106e+00	0.1389	1.909062e+02	3.653e+01
 70	0.9450	-1.54e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	7.977e-03	1.275e-07	2.380e+00	9.703069e+00	0.1390	1.997031e+02	3.854e+01
 71	0.9432	-1.48e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	9.800e-03	1.274e-07	2.391e+00	9.693394e+00	0.1391	1.899219e+02	3.689e+01
 72	0.9413	-1.42e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.226e-02	1.279e-07	2.400e+00	9.683671e+00	0.1392	1.928750e+02	3.721e+01
 73	0.9394	-1.37e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.569e-02	1.280e-07	2.419e+00	9.679102e+00	0.1392	1.873125e+02	3.667e+01
 74	0.9375	-1.32e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.926e-02	1.283e-07	2.421e+00	9.675702e+00	0.1393	1.881406e+02	3.662e+01
 75	0.9355	-1.27e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.390e-02	1.287e-07	2.417e+00	9.675750e+00	0.1394	1.935938e+02	3.716e+01
 76	0.9332	-1.23e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	3.077e-02	1.291e-07	2.398e+00	9.679911e+00	0.1394	1.882500e+02	3.623e+01
 77	0.9307	-1.20e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.939e-02	1.291e-07	2.417e+00	9.688316e+00	0.1395	2.112188e+02	4.059e+01
 78	0.9285	-1.16e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.060e-02	1.290e-07	2.373e+00	9.696233e+00	0.1395	1.818281e+02	3.523e+01
 79	0.9266	-1.12e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.486e-02	1.287e-07	2.451e+00	9.702593e+00	0.1396	1.972969e+02	3.791e+01
 80	0.9254	-1.09e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.730e-02	1.301e-07	2.246e+00	9.706044e+00	0.1396	1.948125e+02	3.729e+01
 81	0.9268	-1.08e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.874e-02	1.292e-07	2.574e+00	9.720538e+00	0.1396	2.075156e+02	3.916e+01
 82	0.9288	-1.14e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.860e-02	1.333e-07	2.116e+00	9.713539e+00	0.1396	1.916406e+02	3.653e+01
 83	0.9282	-1.20e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.779e-02	1.282e-07	2.530e+00	9.748148e+00	0.1395	1.954375e+02	3.747e+01
 84	0.9265	-1.19e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	3.069e-02	1.283e-07	2.270e+00	9.738881e+00	0.1395	2.011250e+02	3.871e+01
 85	0.9250	-1.15e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	9.297e-03	1.280e-07	2.296e+00	9.736279e+00	0.1396	1.961719e+02	3.722e+01
 86	0.9237	-1.10e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.925e-03	1.280e-07	2.292e+00	9.731097e+00	0.1396	1.916250e+02	3.687e+01
 87	0.9224	-1.06e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	5.476e-03	1.281e-07	2.308e+00	9.726673e+00	0.1397	1.866094e+02	3.568e+01
 88	0.9212	-1.02e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	7.038e-03	1.282e-07	2.321e+00	9.722749e+00	0.1397	2.068438e+02	3.918e+01
 89	0.9199	-9.79e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	8.656e-03	1.283e-07	2.334e+00	9.719926e+00	0.1398	1.864844e+02	3.606e+01
 90	0.9187	-9.43e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.059e-02	1.284e-07	2.347e+00	9.718568e+00	0.1398	1.995781e+02	3.823e+01
 91	0.9174	-9.09e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.300e-02	1.285e-07	2.372e+00	9.719006e+00	0.1399	1.936719e+02	3.732e+01
 92	0.9161	-8.76e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.111e-02	1.284e-07	2.395e+00	9.720114e+00	0.1399	1.760625e+02	3.413e+01
 93	0.9149	-8.44e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.163e-02	1.285e-07	2.390e+00	9.720301e+00	0.1400	2.000938e+02	3.843e+01
 94	0.9136	-8.14e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.259e-02	1.286e-07	2.402e+00	9.721110e+00	0.1400	1.807969e+02	3.520e+01
 95	0.9124	-7.86e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.519e-02	1.287e-07	2.407e+00	9.723083e+00	0.1401	2.031406e+02	3.873e+01
 96	0.9110	-7.60e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.707e-02	1.288e-07	2.416e+00	9.726517e+00	0.1401	1.734531e+02	3.394e+01
 97	0.9097	-7.36e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.805e-02	1.288e-07	2.389e+00	9.730829e+00	0.1401	1.961406e+02	3.792e+01
 98	0.9084	-7.14e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.106e-02	1.286e-07	2.385e+00	9.734608e+00	0.1402	1.865625e+02	3.578e+01
 99	0.9073	-6.89e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.913e-02	1.291e-07	2.351e+00	9.736650e+00	0.1402	1.890938e+02	3.624e+01
100	0.9063	-6.66e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.072e-02	1.282e-07	2.364e+00	9.743712e+00	0.1402	2.003594e+02	3.839e+01
101	0.9054	-6.46e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.599e-02	1.295e-07	2.310e+00	9.740265e+00	0.1403	1.727656e+02	3.335e+01
102	0.9044	-6.29e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.303e-02	1.286e-07	2.313e+00	9.751255e+00	0.1403	1.740625e+02	3.366e+01
103	0.9034	-6.10e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.472e-02	1.291e-07	2.282e+00	9.752125e+00	0.1403	1.826250e+02	3.476e+01
104	0.9023	-5.92e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.616e-02	1.290e-07	2.235e+00	9.758158e+00	0.1403	1.803125e+02	3.461e+01
105	0.9012	-5.75e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.923e-02	1.288e-07	2.187e+00	9.763208e+00	0.1404	1.816719e+02	3.535e+01
106	0.9002	-5.57e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.800e-02	1.285e-07	2.196e+00	9.765403e+00	0.1404	1.702031e+02	3.345e+01
107	0.8995	-5.38e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.179e-02	1.286e-07	2.233e+00	9.764668e+00	0.1404	1.732344e+02	3.347e+01
108	0.8988	-5.19e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	8.004e-03	1.285e-07	2.254e+00	9.764597e+00	0.1404	1.841719e+02	3.554e+01
109	0.8981	-5.00e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	6.526e-03	1.285e-07	2.261e+00	9.764332e+00	0.1405	1.689844e+02	3.271e+01
110	0.8974	-4.82e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	7.174e-03	1.285e-07	2.274e+00	9.764215e+00	0.1405	1.645156e+02	3.188e+01
111	0.8968	-4.64e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.859e-03	1.285e-07	2.287e+00	9.764055e+00	0.1405	1.720312e+02	3.340e+01
112	0.8962	-4.47e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	7.027e-03	1.286e-07	2.314e+00	9.763935e+00	0.1405	1.721250e+02	3.353e+01
113	0.8956	-4.30e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	6.564e-03	1.285e-07	2.334e+00	9.764848e+00	0.1406	1.725312e+02	3.348e+01
114	0.8951	-4.14e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.180e-03	1.285e-07	2.349e+00	9.764147e+00	0.1406	1.986719e+02	3.851e+01
115	0.8947	-3.97e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.410e-03	1.285e-07	2.349e+00	9.763241e+00	0.1406	1.636875e+02	3.202e+01
116	0.8942	-3.82e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.824e-03	1.285e-07	2.350e+00	9.762637e+00	0.1406	1.663438e+02	3.257e+01
117	0.8938	-3.67e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	5.764e-03	1.286e-07	2.347e+00	9.762729e+00	0.1407	1.587031e+02	3.097e+01
118	0.8933	-3.53e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	6.604e-03	1.286e-07	2.344e+00	9.763066e+00	0.1407	1.643438e+02	3.221e+01
119	0.8929	-3.40e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	8.005e-03	1.287e-07	2.340e+00	9.764015e+00	0.1407	1.673594e+02	3.278e+01
120	0.8924	-3.27e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	9.451e-03	1.288e-07	2.335e+00	9.765461e+00	0.1407	1.933281e+02	3.718e+01
121	0.8919	-3.16e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.086e-02	1.289e-07	2.329e+00	9.767907e+00	0.1407	1.801875e+02	3.463e+01
122	0.8914	-3.06e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.221e-02	1.291e-07	2.323e+00	9.771152e+00	0.1407	1.780469e+02	3.419e+01
123	0.8908	-2.97e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.501e-02	1.291e-07	2.319e+00	9.776552e+00	0.1408	1.815000e+02	3.521e+01
124	0.8901	-2.90e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.558e-02	1.295e-07	2.313e+00	9.781752e+00	0.1408	1.661562e+02	3.193e+01
125	0.8895	-2.85e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.084e-02	1.298e-07	2.345e+00	9.790881e+00	0.1408	1.759531e+02	3.370e+01
126	0.8902	-2.88e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.617e-02	1.311e-07	2.146e+00	9.802783e+00	0.1408	1.958281e+02	3.736e+01
127	0.9009	-3.75e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.859e-02	1.413e-07	2.465e+00	9.820811e+00	0.1406	1.447500e+02	2.869e+01
128	0.9038	-6.36e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.871e-02	1.348e-07	2.088e+00	9.898394e+00	0.1403	2.051562e+02	3.905e+01
129	0.9085	-8.69e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	4.870e-02	1.375e-07	2.565e+00	9.918228e+00	0.1399	2.187812e+02	4.143e+01
130	0.9063	-1.02e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	3.961e-02	1.296e-07	2.128e+00	9.970584e+00	0.1397	1.976250e+02	3.761e+01
131	0.9045	-1.03e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.622e-02	1.294e-07	2.386e+00	9.966488e+00	0.1397	1.819688e+02	3.486e+01
132	0.9031	-9.90e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	9.372e-03	1.292e-07	2.301e+00	9.966652e+00	0.1398	1.852500e+02	3.561e+01
133	0.9019	-9.54e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.147e-02	1.294e-07	2.298e+00	9.965332e+00	0.1398	1.953594e+02	3.734e+01
134	0.9006	-9.19e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.355e-02	1.295e-07	2.310e+00	9.965668e+00	0.1399	1.702812e+02	3.273e+01
135	0.8992	-8.87e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.561e-02	1.295e-07	2.363e+00	9.967255e+00	0.1399	1.898750e+02	3.620e+01
136	0.8979	-8.55e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.592e-02	1.293e-07	2.402e+00	9.968671e+00	0.1400	1.764844e+02	3.396e+01
137	0.8968	-8.23e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.349e-02	1.291e-07	2.353e+00	9.968647e+00	0.1400	1.625000e+02	3.172e+01
138	0.8958	-7.92e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	6.664e-03	1.290e-07	2.323e+00	9.966012e+00	0.1401	1.699844e+02	3.282e+01
139	0.8948	-7.62e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	6.630e-03	1.291e-07	2.317e+00	9.962474e+00	0.1401	1.732969e+02	3.357e+01
140	0.8939	-7.33e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	7.663e-03	1.292e-07	2.332e+00	9.960030e+00	0.1401	1.825000e+02	3.519e+01
141	0.8930	-7.06e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	8.143e-03	1.292e-07	2.326e+00	9.958765e+00	0.1402	1.796719e+02	3.441e+01
142	0.8920	-6.80e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	8.100e-03	1.294e-07	2.321e+00	9.957788e+00	0.1402	1.739531e+02	3.345e+01
143	0.8911	-6.56e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.029e-02	1.295e-07	2.307e+00	9.958670e+00	0.1403	1.805469e+02	3.421e+01
144	0.8901	-6.33e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.354e-02	1.296e-07	2.280e+00	9.960980e+00	0.1403	1.766094e+02	3.445e+01
145	0.8890	-6.13e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.664e-02	1.299e-07	2.255e+00	9.964017e+00	0.1403	1.805156e+02	3.424e+01
146	0.8879	-5.96e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.994e-02	1.301e-07	2.233e+00	9.969758e+00	0.1403	1.764219e+02	3.426e+01
147	0.8866	-5.80e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.564e-02	1.303e-07	2.207e+00	9.978210e+00	0.1404	1.742188e+02	3.390e+01
148	0.8853	-5.67e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.001e-02	1.306e-07	2.183e+00	9.988244e+00	0.1404	1.751094e+02	3.405e+01
149	0.8840	-5.54e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.370e-02	1.304e-07	2.156e+00	1.000118e+01	0.1404	1.757031e+02	3.405e+01
150	0.8827	-5.44e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.885e-02	1.307e-07	2.151e+00	1.001061e+01	0.1404	1.851406e+02	3.578e+01
151	0.8815	-5.31e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.910e-02	1.299e-07	2.125e+00	1.002346e+01	0.1404	1.732031e+02	3.362e+01
152	0.8806	-5.17e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.171e-02	1.296e-07	2.156e+00	1.002746e+01	0.1404	1.657344e+02	3.252e+01
