 Iteration	g0	g1	penalK	penalG	eta	beta	pAgg	change	lambda1	lambda2	Compliance	Vol. Frac.	CPU time	Real time
  1	1.0000	+1.87e-14	 3.0	 3.0	0.50	 2.0	5.000e+01	8.125e-01	1.338e-07	1.987e+00	8.798052e+00	0.1412	2.932812e+02	5.446e+01
  2	0.9930	-1.48e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.024e-02	1.331e-07	1.976e+00	8.844752e+00	0.1410	2.225938e+02	4.364e+01
  3	0.9866	-2.72e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	9.857e-03	1.340e-07	2.002e+00	8.888288e+00	0.1408	1.836406e+02	3.580e+01
  4	0.9798	-3.95e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.116e-02	1.348e-07	2.041e+00	8.937848e+00	0.1406	2.098438e+02	4.034e+01
  5	0.9730	-5.12e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.246e-02	1.355e-07	2.088e+00	8.993912e+00	0.1405	1.840781e+02	3.623e+01
  6	0.9664	-6.16e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.365e-02	1.360e-07	2.139e+00	9.056352e+00	0.1403	1.944062e+02	3.760e+01
  7	0.9605	-7.02e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.482e-02	1.363e-07	2.191e+00	9.124721e+00	0.1402	2.186719e+02	4.251e+01
  8	0.9553	-7.65e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.602e-02	1.367e-07	2.234e+00	9.198643e+00	0.1401	1.967188e+02	3.795e+01
  9	0.9509	-8.08e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.704e-02	1.374e-07	2.265e+00	9.278602e+00	0.1400	1.729062e+02	3.370e+01
 10	0.9469	-8.35e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.789e-02	1.388e-07	2.284e+00	9.366890e+00	0.1400	1.672969e+02	3.304e+01
 11	0.9434	-8.51e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.862e-02	1.371e-07	2.310e+00	9.468581e+00	0.1400	1.736406e+02	3.418e+01
 12	0.9406	-8.56e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.625e-02	1.197e-07	2.415e+00	9.558555e+00	0.1400	2.437031e+02	4.725e+01
 13	0.9395	-8.66e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.744e-02	1.369e-07	2.380e+00	9.455285e+00	0.1400	1.666719e+02	3.264e+01
